Species,Glucose_F,Galactose_F,Sucrose_F,Maltose_F,Lactose_F,Raffinose_F,Trehalose_F,Glucose,Inulin,Sucrose,Raffinose,Melibiose,Galactose,Lactose,Trehalose,Maltose,Melezitose,Methyl-?-D-glucoside,Soluble Starch,Cellobiose,Salicin,L-Sorbose,L-Rhamnose,D-Xylose,L-Arabinose,D-Arabinose,D-Ribose,Methanol,Ethanol,Glycerol,Erythritol,Ribitol,Galactitol,D-Mannitol,D-Glucitol,myo-Inositol,DL-Lactate,Succinate,Citrate,D-Gluconate,D-Glucosamine,N-Acetyl-D-glucosamine,Hexadecane,Nitrate,Nitrite,Vitamin-free,2-Keto-D-gluconate,5-Keto-D-gluconate,Saccharate,Xylitol,L-Arabinitol,Arbutin,"Propane 1,2 diol","Butane 2,3 diol",Cadaverine,Creatinine,L-Lysine,Ethylamine,50% Glucose,10% NaCl/5% glucose,Starch formation,Urease,Gelatin liquefaction,0.01% Cycloheximide,0.1% Cycloheximide,Growth at 19°C,Growth at 25°C,Growth at 30°C,Growth at 35°C,Growth at 37°C,Growth at 40°C,Growth at 45°C
Candida anneliseae,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,1,1,1,0,1,0,1,1,1,NA,0,0,NA,1,0,1,1,1,1,NA,0,0
Candida anutae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,1,1,0,1,1,0,0,0,0,0
Candida apicola,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,0,1,1,1,NA,0,0,0
Candida apis,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Candida arabinofermentans,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,1,1,1,1,1,1,NA,NA
Candida arcana,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,NA,0,1,NA,NA,NA,0,1,0,0,1,0,1,1,0,NA,0,0,NA,1,0,1,1,0,0,0,0,0
Candida asparagi,1,1,0,0,0,0,NA,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,NA,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,0,0,NA,NA,NA,1,1,1,0,0,0,0
Candida atakaporum,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,NA,NA,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,NA,0,0,1,1,0,1,0,1,1,1,NA,0,0,NA,0,0,1,1,1,1,NA,0,0
Candida atbi,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,1,1,1,1,1,0,0,0,0
Candida athensensis,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,1,1,1,0,1,0,1,1,1,NA,0,0,NA,1,1,1,1,1,1,NA,0,0
Candida atlantica,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,0,0,0,0,0
Candida atmosphaerica,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Candida auringiensis,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,1,1,1,1,1,1,NA,NA
Candida aurita,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,0,1,1,0,0,0,0,0
Candida azyma,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,1,1,1,1,1,NA,0,0,0
Candida azymoides,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,0,NA,1,NA,1,1,1,NA,0,0,0
Candida barrocoloradensis,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,NA,NA,0,0,0,1,NA,NA,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,1,1,1,1,1,0,0,0,0
Candida batistae,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,0,1,1,1,1,1,NA,NA
Candida bentonensis,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,0,1,1,1,1,1,1,1,NA,NA
Candida berthetii,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,NA,NA,0,0,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,1,1,1,1,1,1,NA,NA
Candida bituminiphila,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,0,0,NA,0,NA,0,1,1,1,1,1,NA,0,0,0
Candida blankii,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,1,1,1,1,1,1,NA,NA
Candida blattariae,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,0,0,1,1,1,0,0,0,0
Candida bohiensis,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,1,0,1,1,1,0,0,0,0
Candida boidinii,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,1,1,1,1,1,1,NA,NA
Candida bokatorum,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,NA,NA,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,0,NA,0,0,1,1,0,1,0,1,1,1,NA,0,0,NA,1,0,1,1,1,1,NA,0,0
Candida boleticola,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,1,1,1,1,NA,0,0,0
Candida bolitotheri,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,NA,NA,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,1,0,1,1,1,1,NA,0,0
Candida bombi,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Candida bombiphila,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,NA,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Candida boreocaroliniensis,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,0,1,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,0,1,1,1,1,1,1,0,0,0
Candida bracarensis,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,1,1,1,1,1,1,NA
Candida bribrorum,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,NA,NA,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,1,1,1,1,1,1,NA,0,0
Candida bromeliacearum,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,NA,1,0,0,1,0,NA,NA,NA,1,NA,1,1,1,NA,0,0,NA,0,0,1,1,1,1,0,0,0
Candida beunavistaensis,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,0,1,1,0,1,0,1,1,1,NA,0,0,NA,1,1,1,1,1,1,1,0,0
Candida buinensis,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,1,0,0,1,1,1,NA,0,0,0
Candida californica,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,NA,NA,0,0,1,0,NA,NA,0,0,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Candida canberraensis,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,0,0,0,1,1,NA,NA,0,0,0
Candida carpophila,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,1,1,1,1,NA,1,NA,NA
Candida caryicola,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Candida caseinolytica,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,1,1,1,1,1,1,1,1,NA,NA
Candida castellii,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Candida castrensis,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,1,1,1,0,0,0,0,0
Candida catenulata,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,1,1,1,1,1,NA,1,NA,NA
Candida cellae,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,0,NA,1,NA,1,1,1,1,1,1,NA
Candida cerambycidarum,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,0,NA,NA,1,1,1,1,0,1,0,1,1,1,NA,0,0,NA,0,0,1,1,1,1,NA,NA,NA
Candida chickasaworum,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,NA,NA,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,0,1,1,0,1,0,1,NA,1,NA,0,0,NA,0,0,1,1,1,0,0,0,0
Candida chilensis,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,NA,1,1,1,1,1,NA,0,0,0
Candida choctaworum,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,NA,NA,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,1,1,1,0,1,0,1,1,1,NA,0,0,NA,1,1,1,1,1,1,0,0,0
Candida chrysomelidarum,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,NA,0,1,NA,NA,1,0,1,0,0,1,0,1,1,1,NA,0,0,NA,0,0,1,1,1,0,0,0,0
Candida cidri,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,1,1,1,1,NA,0,0,0
Candida coipomoensis,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,1,1,1,1,NA,0,0,0
Candida conglobata,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,0,1,1,1,NA,0,0,0
Candida cretensis,1,1,0,0,NA,NA,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,NA,1,0,NA,1,0,NA,1,0,1,0,1,1,NA,NA,0,0,NA,1,1,1,1,1,0,0,0,0
Candida cylindracea,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,1,1,1,1,1,1,NA,0,0,0
Candida dajiaensis,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,1,0,0,1,NA,0,NA,0,0,NA,0,0,1,1,1,NA,0,0,0
Candida davenportii,1,0,0,0,0,NA,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,1,NA,0,NA,NA,0,0,1,1,NA,NA,0,0,0
Candida deformans,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,NA,1,1,1,1,1,NA,0,0,0
Candida dendrica,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,1,1,1,1,NA,0,0,0
Candida dendronema,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,0,1,1,1,NA,1,NA,NA
Candida derodonti,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,NA,NA,0,NA,0,1,NA,NA,0,0,1,1,0,1,0,1,1,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0
Candida diddensiae,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Candida digboiensis,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,0,NA,0,0,NA,0,0,1,1,1,1,1,1,NA
Candida diospyri,1,1,0,0,0,0,NA,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,NA,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,0,0,NA,NA,NA,1,1,1,1,0,0,0
Candida diversa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,NA,0,0,1,1,1,NA,1,NA,NA
Candida drosophilae,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,1,1,1,1,1,NA,0,0,0
Candida dubliniensis,1,1,0,1,0,0,NA,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,NA,NA,1,0,0,0,0,1,0,1,1,1,NA,0,0,NA,1,1,1,1,1,1,1,1,NA
Candida easanensis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,1,NA,1,1,NA,NA,0,0,0,NA,0,1,1,1,1,1,1,NA
Candida elateridarum,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,NA,1,1,1,1,0,1,0,1,1,1,NA,0,0,NA,1,0,1,1,1,1,NA,0,0
Candida emberorum,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,NA,NA,0,0,0,1,NA,NA,0,NA,1,0,0,1,0,1,1,1,NA,0,0,NA,0,0,1,1,1,1,NA,0,0
Candida endomychidarum,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,0,NA,NA,NA,NA,1,1,0,1,0,1,1,1,NA,0,0,NA,0,0,1,1,1,0,0,0,0
Candida entomophila,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,1,1,1,1,1,1,1,NA,NA
Candida ergatensis,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,0,0,0,0,0
Candida etchellsii,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Candida ethanolica,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,0,0,1,0,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,0,NA,0,NA,0,0,0,1,1,1,1,1,NA,NA
Candida fennica,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,0,1,1,1,NA,0,0,0
Candida fermenticarens,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,1,0,1,1,1,NA,0,0,0
Candida floccosa,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,NA,NA,1,0,NA,1,1,1,0,1,1,0,NA,0,NA,NA,NA,NA,1,1,1,NA,0,0,0
Candida floricola,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,NA,0,0,0,1,1,1,NA,0,0,0
Candida floridensis,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,NA,0,0,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,1,1,1,1,1,1,1,NA,NA
Candida floris,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,NA,NA,0,0,NA,1,NA,1,1,1,1,1,NA,NA
Candida flosculorum,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,0,0,NA,0,0,1,1,1,1,1,NA,NA
